tract,zevhhs_yr_int,zevhhs_yr_pw1,zevhhs_yr_pw2,zevhhs_yr_pw3,zevhhs_yr_pw4,zevhhs_yr_pw5,zevhhs_yr_pw6
06071010410,0.03329464957212945,-0.02054618447051153,0.00885999728081631,-0.00103168255532641,6.94295560173199e-5,-2.073714782410713e-6,2.112149004043929e-8
06071010411,0.02987703689729603,-0.02028421774108231,0.00851702847136902,-0.00104775401492435,6.949513778735336e-5,-1.935794917748165e-6,1.734710424469718e-8
06071010412,0.0298293767960367,-0.00549920442022857,0.0034607168662288,3.069857581900989e-5,-1.343008147071182e-5,6.62796060431054e-7,-1.1422568699404618e-8
06071010413,0.03615545349960211,-0.02159547312845316,0.00967905020456183,-0.00116925762252119,7.996428562900768e-5,-2.4515885763802585e-6,2.6190441789259186e-8
06071010415,0.0263462487860597,-0.0111691038985976,0.00513803369920446,-4.091675716171307e-4,2.5666568976333836e-5,-7.192012162486509e-7,5.72930002531269e-9
06071010416,0.04178871693753331,-0.02691974045603393,0.01200023311714538,-0.00153947011211329,1.066053629905424e-4,-3.3304865425104896e-6,3.7004104113363685e-8
06071010417,0.03791744658438883,-0.02079550070013488,0.00971837751032329,-0.00116461611868197,7.939851940637628e-5,-2.446921278036539e-6,2.6429399813180898e-8
06071010419,0.04029728746969161,-0.029203655805079,0.01240855465115459,-0.0016235574654592,1.1141251455024784e-4,-3.3920450414857163e-6,3.633630797732807e-8
06071010420,0.03279305098418398,-0.03123421720217692,0.01212913248865052,-0.00170773475248607,1.2072833390869636e-4,-3.653541058197014e-6,3.8180480743365606e-8
06071010421,0.03374480625954488,-0.03542558010973911,0.01380700790457822,-0.00206549581482214,1.5028993720104562e-4,-4.6796778203848e-6,5.0949155115781895e-8
06071010422,0.03023868391803126,-0.01400481184290834,0.00659320526250438,-6.473271807710367e-4,4.172413938531638e-5,-1.2024382392420158e-6,1.1150615701100913e-8
06071010423,0.03618964287311189,-0.0324980278901555,0.01306566785251096,-0.00184831748235368,1.3298952359740786e-4,-4.174595777701779e-6,4.614445520788312e-8
06071010424,0.03728056630821394,-0.02656427965929144,0.01138544447232776,-0.00149674556381986,1.0648771499410448e-4,-3.37375614770466e-6,3.7737330139448644e-8
06071010700,0.03250597900186679,-0.02580157090397522,0.01050817847014272,-0.00139408093295046,9.728619776315472e-5,-2.9309483881441285e-6,3.0322722115482696e-8
06071010802,0.03812781127992117,-0.01140947147857713,0.00642706146014983,-4.495580421210845e-4,2.0254758642222576e-5,-4.141213157446742e-7,1.474562112215866e-9
06071010803,0.03015685733233908,-0.00473504981650841,0.00347587819314134,-2.6496720820781073e-8,-1.1383216381485217e-5,6.273054575789169e-7,-1.1441509779525551e-8
06071010804,0.02281628863171603,-0.00212235303400016,0.00196253130946054,1.5388201278705949e-4,-1.5528235044805465e-5,5.817365952541114e-7,-9.192727490187422e-9
