county,county_geoid,zevhhs_yr_int,zevhhs_yr_pw1,zevhhs_yr_pw2,zevhhs_yr_pw3,zevhhs_yr_pw4,zevhhs_yr_pw5,zevhhs_yr_pw6,total_county_households
San Joaquin,06077,0.040262341088962754,-0.011005753342160004,0.006738732852906373,-4.985370432298765e-4,2.3343143992213674e-5,-5.119628077437119e-7,2.734893271696326e-9,217348.82839092615
San Luis Obispo,06079,0.03829121398687035,-0.004918698198542316,0.004855002201595591,-1.9495351024998993e-4,1.996779772895889e-6,1.4601363661077865e-7,-4.6461381863177164e-9,102112.15777392988
San Mateo,06081,0.05310239309937051,0.001114953746283364,0.006080051473150209,-3.379281170251607e-4,9.017664282357339e-6,-1.192538779093249e-7,9.41850582853561e-11,242403.77284175204
Santa Barbara,06083,0.040222295475345955,-0.0058601360336190565,0.005686510032418537,-3.59069321164716e-4,1.4661872852403274e-5,-2.8389284899903777e-7,7.44168896847305e-10,137235.8202882232
Santa Clara,06085,0.05288491793142581,-3.8905840967997735e-4,0.006513392540739701,-4.239573792843784e-4,1.658905462327959e-5,-4.025565605927864e-7,3.865474791839992e-9,590350.7996188863
Santa Cruz,06087,0.04604369504426942,-0.0034805469368151647,0.005690992560129717,-2.8101909553683227e-4,4.204870803507239e-6,1.4733268773631022e-7,-5.0370456395490465e-9,90302.52700980254
Shasta,06089,0.03575073624942903,-0.015087830808558168,0.007574294739906776,-7.555606210254068e-4,4.724193428832636e-5,-1.3576050487382517e-6,1.304904941804239e-8,67745.4948925358
Sierra,06091,0.03531054535443893,-0.00953349249014161,0.00543088626776139,-2.7167888765204147e-4,8.096262146610804e-6,-6.132402823018186e-8,-2.1951037955769395e-9,1231.454576171728
Siskiyou,06093,0.036459423688207766,-0.022067620670308295,0.009852154544959324,-0.0012018203771635397,8.340625324059536e-5,-2.605622430744819e-6,2.8540310568550394e-8,18482.343397738878
Solano,06095,0.04065732423639402,-0.0018460378353609248,0.0040570020868367605,2.116272727487261e-5,-1.781580161867974e-5,8.611645698673537e-7,-1.3655224422359004e-8,142805.58279890026
Sonoma,06097,0.03854512923620624,-9.506923290426059e-4,0.003679686282190886,5.2694814147351783e-5,-1.8799145668204926e-5,8.725148284549754e-7,-1.367603722253145e-8,180474.05541487323
Stanislaus,06099,0.03690795726774887,-0.012204893216126677,0.006658462909880466,-5.297780765773622e-4,2.7837558935963073e-5,-6.87051477008363e-7,4.880534445804058e-9,166467.30141715956
Sutter,06101,0.03773972458292801,-0.013495465784947244,0.007113284366497591,-6.023412480844459e-4,3.2808913508334456e-5,-8.373580147334544e-7,6.545666479457322e-9,31187.85340357636
Tehama,06103,0.03665558373027873,-0.02242092789767387,0.010068498670256033,-0.0012547671215045598,8.706784545782614e-5,-2.698808190350061e-6,2.9271561098230905e-8,23161.601882770407
Trinity,06105,0.034341091575854236,-0.025732764133708945,0.010781052097089709,-0.0014288955237398329,1.0189016350347113e-4,-3.1932774232254106e-6,3.498906171465568e-8,5781.151850507222
Tulare,06107,0.037223847886135905,-0.019443932729917995,0.00905724975172855,-0.0010184079220024358,6.697875342914964e-5,-2.0013437615738488e-6,2.0680777531276005e-8,133504.63064359792
Tuolumne,06109,0.03830352287180463,-0.013379522920522545,0.007322243918120039,-6.522743767781261e-4,3.719723525895486e-5,-1.0038780760239076e-6,8.832518815867462e-9,21823.119170149028
Ventura,06111,0.04352312143690186,-3.5019591025479843e-4,0.004241263058576569,8.346519297943492e-7,-1.6710676123396268e-5,8.054478192145113e-7,-1.252212925125318e-8,258370.21102906106
Yolo,06113,0.039173401872644904,-0.006854457962571811,0.005679182958913267,-3.3687506054152545e-4,1.18883523244588e-5,-1.5376763252977503e-7,-1.3204678419717095e-9,68424.51321396435
Yuba,06115,0.036912778259628756,-0.013719248780698188,0.007013552814472874,-5.820337414024875e-4,3.173162239108739e-5,-8.188857950384524e-7,6.51419872020469e-9,25109.805860723103
