tract,commute_yr_a_int,commute_yr_a_pw1,commute_yr_a_pw2,commute_yr_a_pw3,commute_yr_b_int,commute_yr_b_pw1,commute_yr_b_pw2,commute_yr_b_pw3,commute_yr_c_int,commute_yr_c_pw1,commute_yr_c_pw2,commute_yr_c_pw3,commute_yr_d_int,commute_yr_d_pw1,commute_yr_d_pw2,commute_yr_d_pw3
06019002000,185.303270026309,-85.94993646056346,12.687848036841771,-0.23170768181340073,88.20509757594748,-37.20522646215094,7.825976374227611,-0.17868479735057427,30.271257982263847,-14.02805339575418,2.216021240839733,-0.04374058383743872,135.36328484527024,-61.18421437246643,9.919426779528877,-0.1973245926421436
06019002100,34.63149026818016,-16.348547983532594,2.3282490083418024,-0.04146801627781335,6.006621199216433,-2.629632502436647,0.5059004631419919,-0.011079382288654783,2.6301901784097432,-1.2275142021041694,0.16771232060896724,-0.002849348653548322,9.50825805755627,-4.303350309482536,0.6733958395568728,-0.013018105586486892
06019002200,87.5802307724292,-40.85004494702044,5.918305992610894,-0.10627466222587106,16.962953876415966,-7.137080888756083,1.5044185009680626,-0.034244484992731895,11.363791045575395,-5.335170602472043,0.8168316105916457,-0.015744335121104798,20.962906614049224,-9.662054049424526,1.507331655816162,-0.02933630646315639
06019002300,73.0716514765459,-34.30228382277269,4.959287899967903,-0.08940677168217011,16.55056423391703,-6.962130939683731,1.4632990792137117,-0.0334067082624389,5.5884691758190215,-2.588058159974564,0.41631556273645,-0.00829778755821537,22.05350039056727,-9.887113562836237,1.570472931920981,-0.030674545443435296
06019002400,107.25532781253989,-50.26464818316718,7.346611338944599,-0.13401593948213364,24.836377975296,-10.628557012942183,2.114905744365998,-0.04710470770055081,13.938364941068773,-6.430667440564358,0.9928018412291988,-0.01910534100999651,32.827151637966615,-14.86336035664132,2.4040812238822244,-0.04785373975761915
06019002501,39.40221102237602,-18.406442727041178,2.661331250226949,-0.047933136269001655,3.950898017702946,-1.689826054098818,0.32654795351511784,-0.007159064571336686,2.074818500555885,-0.970326685838756,0.15042130808997373,-0.0029346014969362975,9.67425845784395,-4.525721504585849,0.676031205381199,-0.012734749658199054
06019002502,28.075209972338946,-13.214246958893815,1.8333154924704977,-0.03174346670970641,4.203778453072874,-1.7939646552215283,0.35474243705610303,-0.007841988189366803,0.6853027870104091,-0.31312988844968986,0.05170597505693213,-0.0010566266228549284,2.5616693405324154,-1.1687557474651988,0.1806203992318764,-0.0034947118141561173
06019002601,33.90321887216439,-15.938195842434727,2.1794985166798577,-0.03688207034313919,6.2427105472561815,-2.670378930651116,0.5302910676747336,-0.01173702152292262,2.1398040223614547,-0.9934582874718237,0.15309343492554484,-0.0029532587330303207,12.13693884914445,-5.5384677878849615,0.870460051485453,-0.017017435146951712
06019002602,29.255647989087908,-13.83104278201603,1.8859935977097755,-0.03197559043582045,7.191466722716292,-3.1449589849213058,0.6223613527787613,-0.01388826299948936,1.9240142247070464,-0.898545775212275,0.13264889029437502,-0.0024789637240047856,9.746797362047598,-4.49184627411894,0.7020298433569369,-0.013735258539796609
06019002701,32.12191882374577,-14.889081348732514,2.097011675875698,-0.036640644911654176,4.549818134359456,-2.050361497381541,0.35221505695578004,-0.007271848788038852,1.848088888458612,-0.8571275420696386,0.13014070421192483,-0.0024946684488018817,6.124569655667366,-2.7539143596898628,0.4453937513039071,-0.008934533636886139
06019002702,40.02650750706284,-18.85725962256542,2.6514644977285227,-0.046641205156852036,10.51896461068315,-4.616842452056367,0.8611432030199665,-0.01854713520330774,3.0590217762460647,-1.4305858400133629,0.22660283218690447,-0.0045018174989225924,5.597906436144788,-2.598479645244623,0.4000985178950356,-0.007763471318940485
06019002800,105.03127001020181,-49.11042614773563,7.202000773470967,-0.13147511813685217,28.05396664410051,-12.309504578448962,2.2536139180917756,-0.048085843638310845,14.748769930538742,-6.790340310496161,1.0711855051152201,-0.020983768055867238,35.13207117423798,-15.767899233053509,2.6094873822619773,-0.05287594934475259
06019002903,80.42103160320447,-37.943098353193925,5.361945528841808,-0.0950241807648054,25.86442101181786,-11.516932168778665,2.0817677412165763,-0.04406968505629298,11.53961793497697,-5.37610580226791,0.8200141468151021,-0.015705185721136904,45.45041725968702,-20.695653344918984,3.288379221448388,-0.06468700831135633
06019002904,14.165910833118653,-6.710186939681176,0.9768075084365956,-0.01787000112866294,3.176642885213496,-1.418255973952938,0.2566794177399721,-0.005452988262821763,0.6539730291640833,-0.30688116573224566,0.04710639190344414,-9.128671783374896e-4,2.3990846968730914,-1.1199658951418856,0.16506378450408657,-0.0030670802555813744
06019002905,22.679001842626683,-10.562884317975758,1.552817987307159,-0.02838061900509965,5.84271032008325,-2.6018191832724114,0.46467696991716473,-0.009848272348316563,1.405914148706423,-0.6645082899524237,0.106471942948329,-0.0021661198367933206,3.5495551290850584,-1.6309213706268977,0.25002694037248824,-0.004789649071922942
06019002906,35.82420087067483,-16.719271126476034,2.479413116039032,-0.04571972105001793,6.321307045905137,-2.71250821048185,0.5145495213229878,-0.011128396273490812,1.8076099750812593,-0.8490652772593578,0.12653096102754408,-0.0023716180401315494,5.27173241781824,-2.4533644877635767,0.36398575029969243,-0.006813305248067535
06019003001,137.45856905388894,-63.42127565160025,9.89762858604414,-0.1900839894735317,44.52860459962976,-20.33846593302145,3.3963774911699405,-0.06886031550790751,15.794189665276932,-7.253536276410262,1.1879990119862867,-0.02395861137036331,95.64994624390238,-42.76185163912362,7.232507767052739,-0.14883922857013235
