county,county_geoid,zevhhs_yr_int,zevhhs_yr_pw1,zevhhs_yr_pw2,zevhhs_yr_pw3,zevhhs_yr_pw4,zevhhs_yr_pw5,zevhhs_yr_pw6
San Benito,06069,0.5529080576302081,-0.05378104584390778,0.0674198770057504,-0.0026908831267737337,-1.5071731795324369e-5,3.6774585308719053e-6,-7.582196889105323e-8
San Bernardino,06071,14.077419108336365,-4.88391731738602,2.6820041238089742,-0.2406025570796221,0.013966078728962286,-3.870011415272988e-4,3.5665429790603467e-6
San Diego,06073,23.69594070218305,-3.088036361220359,3.2617463176934933,-0.1943496731387988,0.008309875375913748,-1.863309414802074e-4,9.474684028009789e-7
San Francisco,06075,4.957187630058077,0.1281812982358333,0.7310426366075573,-0.07623228297770532,0.007998112815247213,-3.54871752478949e-4,5.149778219062509e-6
San Joaquin,06077,5.3750087682034176,-2.03538603545231,1.0726447551208904,-0.10081389065688193,0.005912339057775809,-1.6222729873258473e-4,1.474435076660805e-6
San Luis Obispo,06079,1.9760017070965339,-0.31284571919597726,0.27049730319383797,-0.014338647973636208,4.5433269300900435e-4,-4.2587674515348e-6,-9.997589220768298e-8
San Mateo,06081,8.761409136413553,0.05677838885331291,1.0335023178633473,-0.06069175916132347,0.001601890895823133,-1.6288565280273132e-5,-8.689658115613937e-8
Santa Barbara,06083,3.4901718562138404,-0.5067675746757759,0.4944807055440805,-0.03166940283868345,0.0013317007735313936,-2.7098711025207953e-5,9.88413708564812e-8
Santa Clara,06085,20.627858175544958,-0.46788990857852086,2.5693496930682986,-0.16482361637474657,0.00562827013280698,-1.0569431706845027e-4,6.546129071586117e-7
Santa Cruz,06087,2.458356954823206,-0.18450848364395037,0.3025808441742126,-0.014579282246321313,1.6010466705194064e-4,1.0551129242753406e-5,-3.027798721806711e-7
Shasta,06089,1.7524219463167015,-0.7127070319868902,0.3640878348198876,-0.03573847943518616,0.0021976769144985858,-6.237280851328499e-5,5.901672339784671e-7
Sierra,06091,0.03531054535443893,-0.00953349249014161,0.00543088626776139,-2.7167888765204147e-4,8.096262146610804e-6,-6.132402823018186e-8,-2.1951037955769395e-9
Siskiyou,06093,0.5106729339674047,-0.3457215635925913,0.1498045471114206,-0.019253222037582833,0.0013670186623452089,-4.33611142637942e-5,4.846189156223378e-7
Solano,06095,3.7905731264538103,-0.28893471739265525,0.41278492284750107,-0.004691677015481342,-0.0011284595471289481,6.262975314959969e-5,-1.0660367520736423e-6
Sonoma,06097,3.8000262422686943,-0.06410606532708982,0.3519110808153019,0.007585524305186819,-0.0020497907561661376,9.290670047556698e-5,-1.4360518489796742e-6
Stanislaus,06099,3.436329921390675,-1.3557800744189128,0.6888335236985123,-0.06325608540299087,0.0037127149943419245,-1.0135170989298352e-4,8.969230264261861e-7
Sutter,06101,0.8139367201414267,-0.28571459181327324,0.153093519847292,-0.013125027831556653,7.189797645703672e-4,-1.8611182707187624e-5,1.5168521358958359e-7
Tehama,06103,0.40609830355348253,-0.24916869809321052,0.11221293876641952,-0.01409137962935433,9.824625707468132e-4,-3.061492001630709e-5,3.3457839419076354e-7
Trinity,06105,0.17407481713901074,-0.13001442040648467,0.05478136560110074,-0.00729865167159182,5.228015093811278e-4,-1.6495386892915536e-5,1.8251401010224273e-7
Tulare,06107,2.834134342287624,-1.6492267908502107,0.7421880181396245,-0.08808053279346044,0.00594792487016026,-1.8065544877858634e-4,1.9086353230990124e-6
Tuolumne,06109,0.3818709888066294,-0.13527665792412163,0.0734924444443864,-0.0065837918745309575,3.77083516822657e-4,-1.0205859093129957e-5,9.019834839518166e-8
Ventura,06111,7.686174290093824,-0.41715265874452157,0.8598345765227591,-0.022466568594570475,-0.001203674035527394,8.44297582985728e-5,-1.5135487363114256e-6
Yolo,06113,1.6220138842931675,-0.2928307734929679,0.23932152620727615,-0.014915783010440229,5.637915456618476e-4,-8.642312949503195e-6,-2.7624156868688956e-8
Yuba,06115,0.5047174834935522,-0.24905310396067265,0.11603375851323992,-0.01216429494145486,7.758065394302425e-4,-2.2630163439279084e-5,2.2433817082265956e-7
