county,county_geoid,commute_yr_a_int,commute_yr_a_pw1,commute_yr_a_pw2,commute_yr_a_pw3,commute_yr_b_int,commute_yr_b_pw1,commute_yr_b_pw2,commute_yr_b_pw3,commute_yr_c_int,commute_yr_c_pw1,commute_yr_c_pw2,commute_yr_c_pw3,commute_yr_d_int,commute_yr_d_pw1,commute_yr_d_pw2,commute_yr_d_pw3
San Bernardino,06071,28088.792295985197,-12921.221634650288,2106.6104748895655,-42.867793283763085,17707.14934971794,-8031.898003947658,1376.655001521136,-28.96559411505424,11976.107758831053,-5378.791976520478,931.9226918253978,-19.683346396271016,30857.81782389585,-13809.88961675004,2317.3472164846944,-47.5835366006253
San Diego,06073,59100.77765564438,-25866.983871669654,4568.240087679746,-97.20275470090444,42067.956059496435,-18082.48379480125,3314.458204857034,-71.613788247497,23390.620743419942,-9890.588689982844,1872.0472045713645,-41.02005237169715,38543.604157206595,-16753.673219835124,2990.97034203202,-63.593246533806465
San Francisco,06075,21776.655400503794,-9528.310845560314,1767.0088769357333,-40.151480727953654,11227.84246688036,-4216.112665736761,919.5767214944954,-21.005699474355094,9662.458908711806,-3491.299031760007,797.9227767245175,-18.424671506945124,22675.435512796037,-9006.238552024215,1818.6033299673381,-40.44503335366164
San Joaquin,06077,10757.049407898867,-4875.942405760315,806.8037892313522,-16.308751748236386,4545.398515117186,-2057.2185175170307,347.19921620664155,-7.127583405175289,3607.162417933792,-1602.569183658714,280.1472384235391,-5.867783664120745,10596.106356898945,-4572.1427972346855,822.6656054570218,-17.429130250409514
San Luis Obispo,06079,4645.764380507302,-2048.5381136294613,358.3169029323329,-7.490176683930356,2970.2432085715177,-1328.5985676723378,235.9610845284925,-5.012529090729647,2440.1365561082093,-1079.7156989038967,194.94814545340378,-4.202321683718832,4701.289032707476,-2045.2553048576774,364.3859860167813,-7.724853653773708
San Mateo,06081,11448.909533363092,-4016.611316198892,941.9033133448959,-22.152403535841298,6597.579790685822,-2391.208522287948,544.159251452795,-12.76986043694622,8692.732874948197,-3269.648389170488,710.5132176626329,-16.41859626833849,13485.290554173176,-5383.396825003699,1081.0561730686356,-23.99510170681734
Santa Barbara,06083,9759.529866440416,-4126.6294839344055,761.9435909707751,-16.41711156391568,2508.5400219581734,-1051.3601822745445,195.94674325807011,-4.2339811414673445,1861.8501944688426,-812.9061766950393,146.42688103074696,-3.1201050275230244,8259.005373299377,-3605.126561612344,639.2956810576027,-13.53075482503497
Santa Clara,06085,42755.505448246884,-15770.78951729266,3447.584147846554,-79.83032626043651,23433.607809798086,-7753.341137791266,1944.4219715013305,-46.360169006503895,11970.79851105876,-4075.6275075883023,999.988458146993,-23.720364227986238,32386.94225784549,-13327.704498198891,2577.076926671063,-56.545530474174186
Santa Cruz,06087,5346.044926250282,-2148.259663485186,424.7949843633132,-9.354318147133863,2135.00498426886,-860.2594581537799,171.1589030197103,-3.806143598083299,1196.5392865430135,-481.00889038332775,94.36858867331604,-2.0858069166441444,3289.2746476722255,-1372.9400208893585,257.1979317616167,-5.560573381110634
Shasta,06089,4943.621954563849,-2288.5163446922165,356.0731458339179,-6.863229548777804,2158.810864441117,-1000.3832757282894,154.09572680834856,-2.986661585444943,617.6604845330481,-287.42510353598936,42.48178548522683,-0.7933847731246408,2685.5084054025915,-1235.7042736651983,190.31893826175684,-3.6709651573303503
