GEOID,N,Y,total_hh,home_charge_perc
06001444301,246,943,1189,0.7931034482758621
06001444302,534,966,1500,0.644
06001444400,551,968,1519,0.6372613561553654
06001444500,870,1155,2025,0.5703703703703704
06001444601,320,1459,1779,0.8201236649803261
06001444602,632,943,1575,0.5987301587301588
06001450101,1302,866,2168,0.3994464944649446
06001450102,408,926,1334,0.6941529235382309
06001450200,1170,985,2155,0.45707656612529
06001450300,592,1219,1811,0.6731087796797349
06001450400,687,1774,2461,0.7208451848841935
06001450501,356,844,1200,0.7033333333333334
06001450502,323,1500,1823,0.8228195282501372
06001450601,291,1079,1370,0.7875912408759124
06001450602,963,2575,3538,0.7278123233465235
06001450603,244,1427,1671,0.8539796529024536
06001450604,454,1394,1848,0.7543290043290043
06001450605,361,1147,1508,0.7606100795755968
06001450606,349,1754,2103,0.8340466000951022
06001450607,1195,1250,2445,0.5112474437627812
06001450701,406,2379,2785,0.8542190305206463
06001450741,718,1332,2050,0.6497560975609756
06001450742,544,1430,1974,0.7244174265450861
06001450743,1349,1143,2492,0.4586677367576244
06001450744,650,1506,2156,0.6985157699443414
06001450745,611,1710,2321,0.7367514002585093
06001450746,419,1004,1423,0.7055516514406184
06001450750,1346,942,2288,0.4117132867132867
06001450751,494,2641,3135,0.8424242424242424
06001450752,410,1681,2091,0.803921568627451
06001451101,517,2113,2630,0.8034220532319392
06001451102,143,1216,1359,0.8947755702722591
06001451201,800,2031,2831,0.717414341222183
06001451202,372,1453,1825,0.7961643835616439
06001451300,475,1894,2369,0.7994934571549177
06001451401,960,1482,2442,0.6068796068796068
06001451403,148,635,783,0.8109833971902938
06001451404,747,1475,2222,0.6638163816381638
06001451501,567,1166,1733,0.6728216964800924
06001451503,544,1700,2244,0.7575757575757576
06001451504,182,444,626,0.7092651757188498
06001451505,148,1045,1193,0.875943000838223
06001451506,461,643,1104,0.582427536231884
06001451601,509,1474,1983,0.7433182047402925
06001451602,1107,1652,2759,0.5987676694454512
06001451701,191,918,1109,0.8277727682596934
06001451703,209,1184,1393,0.8499641062455133
06001451704,379,1280,1659,0.7715491259795058
06001981900,15,12,27,0.4444444444444444
06001982000,17,15,32,0.46875
06001983200,235,105,340,0.3088235294117647
06003010000,46,304,350,0.8685714285714285
06005000101,253,1687,1940,0.8695876288659794
06005000102,130,638,768,0.8307291666666666
06005000200,342,1450,1792,0.8091517857142857
06005000301,103,519,622,0.8344051446945338
06005000303,616,1823,2439,0.7474374743747437
06005000304,334,1272,1606,0.7920298879202988
06005000401,719,1507,2226,0.6769991015274034
06005000402,294,1483,1777,0.8345526167698368
06005000500,280,1144,1424,0.8033707865168539
06007000102,502,1073,1575,0.6812698412698412
06007000103,283,1456,1739,0.8372627947096032
06007000104,923,1310,2233,0.5866547245857591
06007000201,852,999,1851,0.539708265802269
06007000202,822,934,1756,0.5318906605922551
06007000300,986,894,1880,0.475531914893617
06007000401,651,920,1571,0.5856142584341184
06007000402,905,2156,3061,0.7043449852989219
