tract,int,pw1,pw2,pw3,pw4,pw5,pw6
06001401300,0.012529719496802724,-0.005158099260699342,0.004329612112921747,-7.861365207400537e-4,8.374246453277398e-5,-3.4282490250061443e-6,4.678845701609092e-8
06001401400,0.02671894273287063,-0.008098716992395772,0.005323715948509528,-5.468544645634269e-4,4.0766371470173444e-5,-1.3596161325794867e-6,1.5195875258201016e-8
06001401500,0.0313912032301827,-0.004162605784448637,0.004726706576102871,-3.5655086223300957e-4,2.4579339716657087e-5,-8.641744018362185e-7,1.0237944695617069e-8
06001401600,0.027281585259388105,-0.013564160949289165,0.006963107352310968,-8.559122199703729e-4,6.229437506515956e-5,-1.9605449985023e-6,2.08994798320531e-8
06001401700,0.01463645849677893,0.008042648853620306,-3.1100418312546376e-5,1.9888159816351433e-4,1.186646927026479e-6,-5.861355796710256e-7,1.2001841102412832e-8
06001401800,0.024951981592397036,-0.0028413358803797083,0.0038011261168907737,-3.1817365040239247e-4,2.7276345693970402e-5,-1.0482004048261076e-6,1.3070489104001337e-8
06001402200,0.02460474588787719,-0.002334858562414767,0.003432232885979881,-2.2366133608359216e-4,1.8573067901415186e-5,-7.173398611329053e-7,8.606481274030425e-9
06001402400,0.0341119978786492,-0.015167502803823542,0.008513481629690076,-0.001083748291016796,7.77855980460742e-5,-2.4794835461869685e-6,2.7636616676915808e-8
06001402500,0.025490876427860687,-0.02459743463650782,0.010038597266959081,-0.001505508886634754,1.139241643728088e-4,-3.6324266664895e-6,3.996909008244246e-8
06001402600,0.02092605874950815,-0.022094018159463436,0.008975010895719511,-0.0014040453633473845,1.0884222467998638e-4,-3.480432759415679e-6,3.798886435255805e-8
06001402700,0.022281496489423614,0.0016567184475682374,0.0024026543225585816,-1.1255522345237029e-4,1.6506164624314923e-5,-8.636714030194503e-7,1.2911883321666048e-8
06001402800,0.0060170182247790745,-0.0015534846717358362,0.0031027421837219005,-7.357801213437059e-4,9.012929613430186e-5,-3.9091369440830395e-6,5.538225994713088e-8
06001402900,0.018090123145864254,-0.01858855056360311,0.008417955625515144,-0.0014319399567961114,1.2246587241772952e-4,-4.326211167153608e-6,5.291314395962457e-8
06001403000,0.017106742672866725,-0.016546912049119008,0.00752343035834705,-0.0012557720350002684,1.0735168580350121e-4,-3.759527440781777e-6,4.5238161290899145e-8
06001403100,0.009892483754637372,-0.0054330572348492145,0.004955430649653106,-0.0010458159381042922,1.1534563076789964e-4,-4.8596229683650715e-6,6.854894349165802e-8
06001403300,0.012886639063538636,-0.00542583584890765,0.004504718813261924,-8.121173878464966e-4,8.586964271809939e-5,-3.515016849255907e-6,4.809705983233496e-8
06001403400,0.013422463478268974,-0.011435065432095264,0.0065195227666572115,-0.0012268003683170556,1.1942547103200136e-4,-4.655595918587325e-6,6.200772078251431e-8
06001403501,0.014428246972058889,-0.010012194122109928,0.005558723895728102,-9.490965536475582e-4,8.999969479404653e-5,-3.4089832252999843e-6,4.375661852909685e-8
06001403502,0.01534698727747665,-0.009315456938841556,0.00556238228528215,-9.405662570645413e-4,8.997473275787646e-5,-3.456322646021578e-6,4.506476599081051e-8
