tract,total_tract_vehicles,total_tract_households
06061021037,1423.5012835308023,832.0631901410437
06061021038,5425.99732548515,2445.6976877174216
06061021039,1437.9241496569257,979.6908048594157
06061021040,2852.62010973338,1940.0904938887936
06061021043,2594.562197384812,1125.0953579396164
06061021044,4047.2977897181927,1721.307375315206
06061021045,2380.7551514125093,1249.2067084783578
06061021046,3410.7493789472846,1843.738642867813
06061021103,2794.469395581985,1417.4946928503066
06061021106,1839.8079320879551,820.4156141357383
06061021108,2337.0497914442467,1224.6094833309944
06061021109,3784.4540842876636,1690.0360384674375
06061021122,2604.5915764230626,1231.7856842682265
06061021123,5335.6171494674,2477.909245313799
06061021128,2194.1178728292516,1078.9351084268255
06061021129,2231.1427529849443,1177.7011751479824
06061021130,1878.399708459864,1116.9080667715114
06061021131,3743.292527709256,1793.2895245548352
06061021203,5753.895186666696,2735.1505243209244
06061021204,2496.0486017708267,937.829360146518
06061021304,5969.867011342851,2211.855483655386
06061021309,8869.237349767252,3826.936158511259
06061021322,13411.93862602668,6347.188391744266
06061021401,1796.6582690408247,897.268255942995
06061021403,4387.099084183167,2155.0402835951345
06061021501,4534.988857566757,2194.231412756947
06061021502,3191.021825183523,1429.3335895265175
06061021603,3246.9809652601757,1767.4314775138168
06061021604,3561.072965519943,1247.677636864932
06061021801,4758.47937090596,1882.2600622320049
06061021802,4813.33536390694,2370.0284029931654
06061021901,3237.0000145721297,1317.6574177902583
06061021902,4827.829349615091,1898.5603695470445
06061022002,6446.202881587648,2760.5013163936405
06061022011,1408.7998317118527,666.6831022767021
06061022013,2869.493607014218,1055.11956070664
06061022014,1229.5814793893285,590.8166357810553
06061022100,457.166318835793,261.5018270462112
06061022200,552.1582389145334,293.3090631928426
06061022300,461.0042524500513,182.70802254976778
06061022400,3258.392888248734,1564.6583717622666
06061022500,3308.2554737631476,1378.5275343808446
06061022600,3745.884893726136,1907.0053552449858
06061022800,3147.486879428201,1521.3516408359726
06061022900,3549.6886436238783,1656.03588708721
06061023000,2360.434926676491,1042.2902436076977
06061023100,5791.392343848362,2658.8584068748532
06061023200,3692.5134182105467,1680.2734662025973
06061023300,4139.543164280487,1736.2475660941204
06061023400,3957.0410680070704,1695.151068600084
06061023500,4361.026503003482,1740.030049473108
06061023600,3884.973552472937,2471.237773349762
06061023700,3001.2806931895398,1929.3813944565022
06061023800,2744.875988732836,1799.3211042100897
06061023900,2419.425710435746,1003.8914071197871
06063000100,4493.32962815732,2079.5477242018437
06063000201,1349.61956749655,685.1140335292113
06063000202,1302.5750608601572,569.3594530760938
06063000300,3720.2461605833264,1957.873163937848
06063000400,2690.7805951118285,1204.1077711938085
06063000501,2024.203719897412,932.2469233262377
06063000502,1644.8563811630786,775.0681440159233
06065030101,724.1989532511044,369.60808573588287
06065030103,1111.4817626204829,536.8960713782512
06065030104,4437.088298853204,1892.3451872772453
06065030200,3295.6022196699696,1728.4109342111853
06065030300,1991.706389990112,1348.4840423593764
06065030400,3138.294990345118,1445.1076084633532
06065030501,2791.97147646886,1290.1298930374526
06065030502,944.9960373778048,507.8228933116341
06065030503,1629.8503179570926,908.3309529331052
06065030601,4773.727266896794,1679.114488588354
06065030602,2717.557202255129,1145.9910532152428
06065030603,2328.54008820292,942.925527193504
06065030700,3758.355659895515,1981.4090277226405
06065030800,4987.8931126272655,2257.062792100844
06065030900,2090.1419497045795,831.1730145191676
06065031001,3981.1478516707625,2055.797266481874
06065031002,2958.7001103487187,1171.1762881914485
06065031100,3161.090469694719,1550.4808771444978
06065031200,4337.968873531019,1952.0858844521404
06065031300,1515.9342348482285,603.1784568970094
06065031401,3941.8051338633472,2066.971715356945
06065031402,4144.314377515087,1891.071539903112
06065031501,3218.922602790932,1381.8261164073094
06065031502,4800.533610215469,2341.4049514793246
06065031601,2570.6037548040645,1115.8632661813497
06065031602,3446.5365922842784,1663.4759353080433
06065031701,1540.9439331466774,683.3672118194673
06065031702,1733.4497660242698,667.5821630558524
06065031703,2667.598442497026,1115.9775414462752
06065031704,3680.0018330596363,1627.2404252908602
06065040101,2372.5876309607734,914.2330080005844
06065040102,2750.278292811551,1034.9387480548446
06065040201,3862.2979178350374,1545.1423517971184
06065040202,1963.600699969589,791.266821242408
06065040203,1966.2068177536362,892.58082683053
06065040204,1867.3489733713836,814.4971099645804
06065040301,4324.085584326291,1783.064704515336
06065040302,4885.756727786452,1970.2236041912618
06065040303,2291.33670705111,869.6098104015322
06065040402,2590.514124810438,974.2646800465775
06065040403,3725.7553529967754,1275.5119232144832
06065040404,1894.7537672761598,820.1668045854576
06065040405,3956.430142503458,1401.9502700905844
06065040501,4340.767323198674,1673.6573001931295
06065040502,3657.363591072032,1614.365491862584
06065040503,2735.2954201422194,1528.6561045260898
06065040603,1903.1785252776197,676.2185700460234
06065040604,3558.749154016756,1182.6067825393227
06065040605,1805.280322902729,708.2701289245052
06065040606,2108.9444931243793,749.3839504816144
06065040607,8245.668635665095,3267.9659724742583
06065040609,8826.901219407542,3483.628022042782
06065040611,5087.785145539615,1752.057977824476
06065040613,7784.707251277671,2714.1829152032565
06065040615,6574.891184856984,2308.741999957783
06065040616,5189.035589805277,1966.5830787531982
06065040701,1980.6014017895502,700.5956635632319
06065040702,2252.0286792107872,847.3847106076864
06065040703,2456.664898034125,942.7933615581487
06065040806,2256.9222411656397,852.0659287977866
06065040807,2530.7883135640814,1018.2093052754726
06065040808,4735.438229859945,2114.998612619095
06065040809,2603.594203822416,1123.9888194819066
06065040812,2771.902680244943,1035.0702970483435
06065040813,5032.04031770106,1803.5367006541317
06065040814,3189.7203707837325,1629.848279250977
06065040815,2822.571711475767,1247.225725859228
06065040816,1769.808997584946,812.3515763976791
06065040821,4039.762915134421,2008.8104451494244
06065040901,4614.463883082347,2192.527298156314
06065040902,3829.4267370514895,1597.1773347802289
06065040903,1694.6787788336976,721.1849051482266
06065040904,2507.3579217626097,943.4984098797331
06065041001,1611.1640526923618,722.788136134828
06065041002,1972.8514444463124,820.5724530604269
06065041003,1762.696664246111,645.1064297167422
06065041004,3192.2063201893234,1350.0966012001963
06065041101,2290.4280269075743,1126.707103533709
06065041102,2624.1639715175793,1011.8365902855031
06065041201,2521.2523976690236,1013.4674197196173
06065041202,2301.4821816693393,984.4791432327855
06065041203,2002.2734633227162,861.260141044134
06065041301,1981.5840098791125,785.0895766764752
06065041302,2331.2602038960963,993.1967747655157
06065041403,2689.331757484204,1264.1555949300796
06065041404,2741.4470892669747,914.3537970199155
06065041405,2643.480084297253,1260.1483961507925
06065041406,4038.8283756574224,1803.8762057314677
06065041407,3279.7083772738315,1647.0432112823491
06065041408,2483.405567778322,1314.7570710221626
06065041409,11270.947157329912,4545.166198942713
06065041410,1579.4513339824598,659.1760221125634
06065041411,1831.551586131016,763.6654464665946
06065041412,3393.646321090811,1450.4675117125391
06065041500,1811.185327417673,1031.0004223022604
06065041600,3691.0463508933476,1790.5875500651323
06065041702,3464.1027563554703,1360.9751673418184
06065041703,3301.194907639214,1699.1294466213187
06065041704,2001.0390438164127,927.7585848631973
06065041803,4784.124432117414,1929.8337712265973
06065041804,3576.470274331438,1305.6321512544914
06065041805,4671.790812704056,2025.805842182372
06065041806,3457.360541711094,1186.4609534352842
06065041807,1740.7820721125572,650.2555751554602
06065041808,4895.636937261025,1929.4255312230039
06065041809,4075.693735427647,2101.013795303456
06065041810,4568.997613647381,1598.5591820105449
06065041812,2698.310039235342,1005.7070396114982
06065041813,4031.3580665550016,1840.8072826789728
06065041904,3565.72916904696,1330.5784435367207
06065041905,2039.173666838873,975.8743395940766
06065041906,4452.4749793905885,2005.2046844955698
06065041909,3810.6845705171077,1496.1191595421878
06065041910,5346.945417949758,2589.6740065665913
06065041911,8770.815435968576,3765.685944790718
06065041912,4993.233920072847,2041.3280756104698
06065041913,3993.6996513301547,1967.9093518341438
06065042003,4456.038864045029,1698.5177913859568
06065042004,2787.2297061259937,985.5640929934851
06065042005,4052.3959517656485,1523.2232433201327
06065042007,3857.7742278620253,1604.3063907080623
06065042008,6421.244115866629,2279.258742877813
06065042009,4582.862255815591,1754.182796661774
06065042010,3402.283994325106,1365.2103910334904
06065042012,4137.805678806506,1829.8732429395839
06065042013,5631.046518366662,2166.470758455985
06065042014,7588.827632164188,2752.2304587577482
06065042206,4187.882367621347,2493.7028457638103
06065042207,2380.2443151319876,1077.2629942102744
06065042208,1967.3031963047115,837.8884342594399
06065042209,1974.7417641786237,1180.2107625075714
06065042210,2668.4835466862446,1553.2107244762617
06065042212,4208.523502539711,1808.4660900024578
06065042213,2909.58385325051,1305.2196102127764
06065042214,4556.797254923641,1734.158284336234
06065042217,4171.183275550604,1809.5418725233662
06065042300,5812.801648703368,2388.864935236183
06065042401,1775.6877052791406,545.3403630557201
06065042402,3020.080339658427,1222.6417386793323
06065042403,2686.744106620232,934.830288318133
06065042404,1286.0432370331528,558.2689885651162
06065042405,2505.6136670967985,1467.3528461996905
06065042406,2786.426005183875,1186.912775287771
06065042407,2203.767611457846,814.8905811709667
06065042408,2412.4439999017773,849.3723516061216
06065042409,2115.4610411233684,921.3191086965352
06065042410,3605.466604933107,1405.5601902484448
06065042411,1730.5772155233935,671.083538368913
06065042412,3611.8695464782904,1377.4230729465069
06065042505,1645.4854057422644,756.0441597045394
06065042506,4799.643433619866,2535.90770405619
06065042507,2783.167301898876,1062.932764622108
06065042508,2930.740968584397,1250.737602989595
06065042509,1869.7122275490376,804.6479474679851
06065042510,2948.7738753361086,1158.766515461299
06065042511,1611.8387213998883,702.8764601132667
06065042512,1845.881683710986,874.9748747592101
06065042513,1781.5632649278384,790.9425434640096
06065042514,1770.4786270963261,824.8897562748353
06065042515,1634.2719640404193,905.8731669884754
06065042516,2307.615230443449,988.7604367309714
06065042517,1937.276241464921,804.288581853739
06065042518,1939.2926582854116,871.4775808924101
06065042519,967.5168894263492,464.902500306117
06065042520,2558.293246955881,1108.8808287144593
06065042521,3103.93571603147,1206.013029436053
06065042617,6327.803311796307,2599.4825333698027
06065042618,4455.431767596178,1735.870129212974
06065042619,7249.738657218591,2768.8768549732363
06065042620,8168.517821814561,3222.4684227795055
06065042621,4583.327246291369,1773.2420124236853
06065042622,3187.0085629214277,1345.5018351959227
06065042623,2560.316327025184,1208.9794150873067
06065042624,2919.556444744373,987.0898717863015
06065042706,4131.4746728931905,1831.3985451476751
06065042708,3508.404683048785,1418.3906393979642
06065042709,3320.7882577109726,1730.6328776913563
06065042711,3787.862268108303,2427.683314487438
06065042714,3138.4324694992724,1362.585476866211
06065042715,10062.310733784389,4197.416912971218
06065042716,4107.075492760962,1833.3166820201034
06065042717,3448.8007481997097,1470.877963159522
06065042719,3427.681743089421,1427.7781942257143
06065042720,3348.7140854303707,1434.4106953696682
06065042723,4580.504062558809,2018.9102539507069
06065042724,2479.8265880829904,1038.2491912481448
06065042726,5985.683215153054,2354.9319091705465
06065042728,1466.9093516734688,620.2518596217573
06065042729,6935.907168040445,3836.7539562803267
06065042730,3361.089110074915,1300.2892012704372
06065042731,4850.08879900746,1976.4832779681433
06065042732,4361.73627173926,1673.4388978335994
06065042733,7366.28641302309,3206.0968122025965
